split,filename,original_label,visual_trend_label,slope
train,QQQ_0.png,Up,Down,0.0367
train,QQQ_10.png,Up,Down,0.0552
train,QQQ_101.png,Up,Down,0.3737
train,QQQ_102.png,Up,Down,0.1188
train,QQQ_103.png,Up,Up,-0.4397
train,QQQ_105.png,Up,Down,0.0389
train,QQQ_106.png,Up,Up,-0.2524
train,QQQ_107.png,Up,Down,0.3625
train,QQQ_109.png,Up,Down,0.3149
train,QQQ_11.png,Up,Up,-0.5018
train,QQQ_110.png,Up,Down,0.4574
train,QQQ_111.png,Up,Up,-0.6048
train,QQQ_114.png,Up,Down,0.2363
train,QQQ_116.png,Up,Up,-0.187
train,QQQ_119.png,Up,Down,0.2106
train,QQQ_12.png,Up,Up,-0.4859
train,QQQ_120.png,Up,Up,-0.535
train,QQQ_121.png,Up,Up,-0.6051
train,QQQ_124.png,Up,Down,0.3902
train,QQQ_126.png,Up,Down,0.1902
train,QQQ_13.png,Up,Down,0.2694
train,QQQ_130.png,Up,Down,0.0081
train,QQQ_132.png,Up,Down,0.1172
train,QQQ_136.png,Up,Up,-0.2593
train,QQQ_137.png,Up,Up,-0.1566
train,QQQ_140.png,Up,Down,0.4666
train,QQQ_141.png,Up,Up,-0.2887
train,QQQ_142.png,Up,Up,-0.4552
train,QQQ_143.png,Up,Up,-0.315
train,QQQ_147.png,Up,Down,0.5849
train,QQQ_148.png,Up,Up,-0.2492
train,QQQ_15.png,Up,Down,0.0735
train,QQQ_154.png,Up,Up,-0.2999
train,QQQ_155.png,Up,Up,-0.5396
train,QQQ_158.png,Up,Down,0.4882
train,QQQ_159.png,Up,Up,-0.6086
train,QQQ_16.png,Up,Up,-0.5752
train,QQQ_162.png,Up,Down,0.3738
train,QQQ_164.png,Up,Down,0.3474
train,QQQ_165.png,Up,Down,0.4881
train,QQQ_166.png,Up,Up,-0.5044
train,QQQ_167.png,Up,Up,-0.6504
train,QQQ_168.png,Up,Up,-0.4619
train,QQQ_169.png,Up,Up,-0.1542
train,QQQ_172.png,Up,Down,0.5719
train,QQQ_173.png,Up,Down,0.3647
train,QQQ_174.png,Up,Up,-0.1709
train,QQQ_175.png,Up,Down,0.1542
train,QQQ_176.png,Up,Up,-0.2643
train,QQQ_180.png,Up,Down,0.7139
train,QQQ_184.png,Up,Down,0.6375
train,QQQ_186.png,Up,Down,0.0544
train,QQQ_187.png,Up,Up,-0.1205
train,QQQ_188.png,Up,Up,-0.0445
train,QQQ_19.png,Up,Up,-0.4278
train,QQQ_190.png,Up,Up,-0.4059
train,QQQ_191.png,Up,Up,-0.1127
train,QQQ_192.png,Up,Down,0.0718
train,QQQ_196.png,Up,Up,-0.2653
train,QQQ_197.png,Up,Down,0.2613
train,QQQ_2.png,Up,Down,0.5227
train,QQQ_20.png,Up,Up,-0.0504
train,QQQ_200.png,Up,Down,0.6779
train,QQQ_202.png,Up,Down,0.1914
train,QQQ_203.png,Up,Up,-0.3748
train,QQQ_208.png,Up,Down,0.1928
train,QQQ_209.png,Up,Up,-0.5158
train,QQQ_212.png,Up,Up,-0.3206
train,QQQ_213.png,Up,Up,-0.2609
train,QQQ_214.png,Up,Up,-0.5693
train,QQQ_216.png,Up,Up,-0.0077
train,QQQ_218.png,Up,Down,0.3321
train,QQQ_219.png,Up,Up,-0.4373
train,QQQ_22.png,Up,Down,0.1205
train,QQQ_220.png,Up,Down,0.5224
train,QQQ_224.png,Up,Up,-0.2257
train,QQQ_226.png,Up,Down,0.0591
